# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 13.366658298351268,3.653088553045043,1.5343613721332194,-178.0859226300324,0.2,0.0,0.17696547579330074,-124.41053589177922,2.047447961233528,-4.191784448267508
 13.403118898339773,3.6458008252863126,1.5341083144806908,-178.01127144892055,0.2,0.0,0.18913508319648442,-124.56337086778554,2.1888746400615977,-4.002479821482628
 13.43886869921736,3.638655517263597,1.533850431228032,-177.93301961639236,0.2,0.0,0.20248670714300662,-124.7064587244201,2.3440973106403264,-3.805606421347611
 13.473900735447819,3.6316540381456925,1.5335876905580994,-177.8509011144783,0.2,0.0,0.21716898518691435,-124.83977686645161,2.5148583976464773,-3.600613593855442
 13.508208047723485,3.6247977971013956,1.5333200606537496,-177.76462308210117,0.2,0.0,0.23335366928604082,-124.96330424140002,2.703172502274562,-3.3868934557745067
 13.541783683610971,3.618088203299503,1.5330475096978389,-177.6738623464237,0.2,0.0,0.25123994078633255,-125.07702134286082,2.9113774352039727,-3.163773313838173
 13.574620698282724,3.611526665908812,1.5327700058732232,-177.57826140286892,0.2,0.0,0.27105967102321654,-125.18091021358542,3.142196496895086,-2.9305068491854476
 13.606712155348442,3.6051145940981186,1.532487517362759,-177.47742373889676,0.2,0.0,0.2930838685090679,-125.27495444831685,3.398814871203611,-2.686263826455049
 13.638051127803159,3.598853397036219,1.5322000123493027,-177.37090837326943,0.2,0.0,0.3176306219373981,-125.35913919638023,3.6849738344089147,-2.4301180319634934
 13.668630699112166,3.5927444838919103,1.5319074590157102,-177.25822345312832,0.2,0.0,0.3450749424644472,-125.43345116402796,4.005087593998608,-2.1610330758928895
 13.698443964457164,3.586789263833989,1.5316098255448383,-177.13881871395847,0.2,0.0,0.3758610294941518,-125.49787861653887,4.3643890620195585,-1.877845605101178
 13.727484032173242,3.580989146031251,1.531307080119543,-177.0120765600581,0.2,0.0,0.41051765403772184,-125.55241138007135,4.769112873488101,-1.5792453600494902
 13.755744025412756,3.5753455396524934,1.5309991909226803,-176.87730146249484,0.2,0.0,0.44967757940776915,-125.59704084326988,5.226726706876907,-1.2637513636491262
 13.783217084080512,3.5698598538665127,1.530686126137107,-176.7337072930365,0.2,0.0,0.4941022513839839,-125.63175995862487,5.7462257260132175,-0.9296833407101149
 13.809896367094948,3.5645334978421053,1.5303678539456793,-176.58040211062735,0.2,0.0,0.5634196030339725,-125.65656324358548,4.918544854610386,-0.38949964716495594
 13.860846293290953,3.5543644117531983,1.5297155600766854,-176.3298026132932,0.2,0.0,0.09582245148551623,-125.6764082218619,1.6856602881112766,-0.0011748194172456333
 13.885456274668398,3.5494527396567976,1.5293969308982238,-176.2883185449941,0.2,0.0,-1.0020797440319273,-125.67643713414589,-11.508761948237208,-0.0035400862895954635
 13.909956323314319,3.544561506165249,1.5291037922326534,-176.5702837725802,0.2,0.0,-1.009044449391288,-125.67652386643219,-11.588593934617657,-0.005925834027059569
 13.934347589084567,3.539690609807965,1.5288359816436354,-176.85294424714297,0.2,0.0,-1.0159384031803615,-125.67666840502486,-11.667609439936475,-0.008331624306658807
 13.958631218207742,3.5348399491143585,1.528593336694832,-177.13627614753645,0.2,0.0,-1.022758142379307,-125.67687072709951,-11.745768722372688,-0.010757006900508511
